84,FLORIANOPOLIS,SC,DIE S10,OUTR,"5,299",METRO
85,FLORIANOPOLIS,SC,DIE S10,OUTR,"5,389",METRO
86,FLORIANOPOLIS,SC,DIE S10,NAC,"5,399",METRO
87,FLORIANOPOLIS,SC,DIE S10,NAC,"5,399",METRO
88,FLORIANOPOLIS,SC,DIE S10,NAC,"5,399",METRO
89,FLORIANOPOLIS,SC,DIE S10,NAC,"5,399",METRO
90,FLORIANOPOLIS,SC,DIE S10,OUTR,"5,499",METRO
91,FLORIANOPOLIS,SC,DIE S10,OUTR,"5,599",METRO
92,FLORIANOPOLIS,SC,DIE S10,NAC,"5,799",METRO
93,FLORIANOPOLIS,SC,DIE S10,NAC,"5,999",METRO
94,ITAJAI,SC,DIE S10,OUTR,"5,099",METRO
95,ITAJAI,SC,DIE S10,OUTR,"5,199",METRO
96,ITAJAI,SC,DIE S10,OUTR,"5,299",METRO
97,ITAJAI,SC,DIE S10,OUTR,"5,349",METRO
98,ITAJAI,SC,DIE S10,OUTR,"5,349",METRO
99,ITAJAI,SC,DIE S10,NAC,"5,349",METRO
100,ITAJAI,SC,DIE S10,OUTR,"5,359",METRO
101,ITAJAI,SC,DIE S10,NAC,"5,649",METRO
102,ITAJAI,SC,DIE S10,OUTR,"5,699",METRO
103,JOINVILLE,SC,DIE S10,OUTR,"4,999",METRO
104,JOINVILLE,SC,DIE S10,OUTR,"5,129",METRO
105,JOINVILLE,SC,DIE S10,OUTR,"5,249",METRO
106,JOINVILLE,SC,DIE S10,OUTR,"5,259",METRO
107,JOINVILLE,SC,DIE S10,OUTR,"5,284",METRO
108,JOINVILLE,SC,DIE S10,NAC,"5,289",METRO
109,JOINVILLE,SC,DIE S10,OUTR,"5,289",METRO
110,JOINVILLE,SC,DIE S10,NAC,"5,299",METRO
111,JOINVILLE,SC,DIE S10,OUTR,"5,349",METRO
112,JOINVILLE,SC,DIE S10,OUTR,"5,349",METRO
113,JOINVILLE,SC,DIE S10,NAC,"5,469",METRO
114,JOINVILLE,SC,DIE S10,OUTR,"5,539",METRO
115,JOINVILLE,SC,DIE S10,NAC,"5,549",METRO
116,JOINVILLE,SC,DIE S10,NAC,"5,559",METRO
117,JOINVILLE,SC,DIE S10,NAC,"5,599",METRO
118,JOINVILLE,SC,DIE S10,NAC,"5,599",METRO
119,JOINVILLE,SC,DIE S10,OUTR,"5,599",METRO
120,JOINVILLE,SC,DIE S10,NAC,"5,649",METRO
121,LAGUNA,SC,DIE S10,NAC,"4,999",METRO
122,LAGUNA,SC,DIE S10,OUTR,"5,099",METRO
123,LAGUNA,SC,DIE S10,OUTR,"5,199",METRO
124,LAGUNA,SC,DIE S10,OUTR,"5,379",METRO
